,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Needed,"$3,000.00",,,,,,,,,,,,,,,,
,WOMEN'S APPAREL (NEW WITH TAGS),STORE STOCK,24,"$3,391.84","$3,000.00",$125.00,$141.33,left,$847.96,,,,,,,,,,,,,,,,
UPC/SKU,ITEM DESCRIPTION,CONDITION,ORIGINAL QTY,RETAIL VALUE,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,VENDOR NAME,,"$2,152.04",,,,,,,,,,,,,,,,
1.93623E+11,"Calvin Klein Women's Three Quarter Cowl Neck Sheath, Black, 2 Petite",New,1,$134.00,$134.00,$33.50,CALVIN KLEIN/G-III APPAREL GROUP,,,,,,,,,,,,,,,,,,
1.93623E+11,"Calvin Klein Women's Sleeveless Open V-Neck Sheath Dress, Red, 12",New,1,$134.00,$134.00,$33.50,CALVIN KLEIN/G-III APPAREL GROUP,,,,,,,,,,,,,,,,,,
1.93623E+11,"Calvin Klein Women's Sleeveless V-Neck Sheath Dress, Camel Multi, 10",New,1,$119.00,$119.00,$29.75,CALVIN KLEIN/G-III APPAREL GROUP,,,,,,,,,,,,,,,,,,
1.93623E+11,Calvin Klein Womens Double Tier Piped Midi Dress Red 10,New,1,$89.98,$89.98,$22.50,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
1.93623E+11,Calvin Klein Womens Jumpsuit V-Neck Texture-Stripe Black 16,New,1,$199.00,$199.00,$49.75,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
1.93623E+11,Calvin Klein Womens Purple Gathered 3/4 Sleeve Off Shoulder Knee Length Sheath Cocktail Dress Size 10,New,1,$149.00,$149.00,$37.25,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
1.93623E+11,"Calvin Klein Women's Size Velvet Sheath with Embellished Long Sleeve, Sapphire, 14 Plus",New,1,$139.00,$139.00,$34.75,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
1.93623E+11,"Calvin Klein Women's Essential Sleeveless Sheath, Navy Faux Suede, 8",New,1,$129.00,$129.00,$32.25,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
1.93623E+11,Calvin Klein Womens Black Bell Sleeve Open Cardigan Top Size XL,New,1,$49.98,$49.98,$12.50,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
1.93624E+11,Calvin Klein Womens Black Sheer Zippered Long Sleeve Off Shoulder Cocktail Jumpsuit Size 4,New,1,$139.00,$139.00,$34.75,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
1.93624E+11,Calvin Klein Womens Navy Sheer Zippered Short Sleeve Jewel Neck Short Fit + Flare Party Dress Size 8,New,1,$89.98,$89.98,$22.50,CALVIN KLEIN/G-III APPAREL GROUP,,,,,,,,,,,,,,,,,,
1.93624E+11,Calvin Klein Womens Green Belted Zippered 3/4 Sleeve Jewel Neck Below The Knee Sheath Formal Dress Size 2,New,2,$89.98,$179.96,$44.99,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
1.94415E+11,"Calvin Klein Women's Sheath Sleeveless Dress with Pearl Neck, Black, 10 Petite",New,1,$89.98,$89.98,$22.50,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
1.94415E+11,"Calvin Klein Women's Sleeveless Scuba Crepe Sheath Dress, Red Multi 2, 8 Petite",New,1,$119.00,$119.00,$29.75,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
1.94415E+11,"Calvin Klein Women's Sleeveless Scuba Crepe Sheath Dress, Red Multi 2, 6 Petite",New,1,$119.00,$119.00,$29.75,CALVIN KLEIN/G-III APPAREL GROUP,,,,,,,,,,,,,,,,,,
1.94415E+11,"Calvin Klein Women's Cold Shoulder Sheath with Illusion Neckline, Black/Black, 12",New,1,$139.00,$139.00,$34.75,CALVIN KLEIN/G-III APPAREL GROUP,,,,,,,,,,,,,,,,,,
1.94415E+11,"Calvin Klein Women's Sleeveless Sheath with Asymmetrical Neckline Dress, Black 2, 6",New,1,$89.98,$89.98,$22.50,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
1.94415E+11,"Calvin Klein Women's Size Sleeveless Mock Neck Lace Midi with Illusion Detail, Black, 20 Plus",New,1,$537.00,$537.00,$134.25,CALVIN KLEIN/G-III APPAREL GROUP,,,,,,,,,,,,,,,,,,
1.94415E+11,"Calvin Klein Women's Sleeveless Floral Embroidered Fit and Flare Dress, Ultramarine/Black, 14",New,1,$149.00,$149.00,$37.25,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
,FBA16HLBNQWD/1ZT74T370367545697,,,,,,,,,,,,,,,,,,,,,,,,
1.92352E+11,"Calvin Klein Women's Square Neck Sheath with Embellished Split Sleeve, Black, 8",New,1,$139.00,$139.00,$34.75,CALVIN KLEIN/G-III APPAREL GROUP,,,,,,,,,,,,,,,,,,
1.91797E+11,"        Calvin Klein Women's Sleeveless Midi Sheath with Ruffle Hem Dress, Black, 2",New,1,$89.98,$89.98,$22.50,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
1.93623E+11,"Calvin Klein Women's Three Quarter Sweetheart Off-The-Shoulder Cocktail Dress, Black, 8",New,1,$149.00,$149.00,$37.25,CALVIN KLEIN/G-III APPAREL GROUP,,,,,,,,,,,,,,,,,,
1.93623E+11,"Calvin Klein Women's One Shoulder Gown with Shirred Bodice, Black/Copper, 2",New,1,$219.00,$219.00,$54.75,CALVIN KLEIN,,,,,,,,,,,,,,,,,,
,FBA16HLBNXBF/1ZT74T370362412768,,,,,,11/30/2021,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
