,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Needed,"$2,430.00"
,WOMEN'S APPAREL (NEW WITH TAGS),STORE STOCK,10,$850.00,"$2,430.00",$243.00,$85.00,left,$257.58
UPC/SKU,ITEM DESCRIPTION,CONDITION,ORIGINAL QTY,RETAIL VALUE,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,VENDOR NAME,,"$2,172.42"
194652801341,"Tommy Hilfiger Women's Trudiy Shoe Loafer, Black, 6",New,1,$89.00,$89.00,$26.97,TOMMY HILFIGER/MARC FISHER LLC,,
194652801365,"Tommy Hilfiger Women's Trudiy Shoe Loafer, Black, 7",New,1,$89.00,$89.00,$26.97,TOMMY HILFIGER/MARC FISHER LLC,,
194652801372,"Tommy Hilfiger Women's Trudiy Shoe Loafer, Black, 7.5",New,1,$89.00,$89.00,$26.97,TOMMY HILFIGER/MARC FISHER LLC,,
194652801396,"Tommy Hilfiger Women's Trudiy Shoe Loafer, Black, 8.5",New,1,$89.00,$89.00,$26.97,TOMMY HILFIGER/MARC FISHER LLC,,
194652801426,"Tommy Hilfiger Women's Trudiy Shoe Loafer, Black, 10",New,1,$89.00,$89.00,$26.97,TOMMY HILFIGER/MARC FISHER LLC,,
194652801501,"Tommy Hilfiger Women's Trudiy Shoe Loafer, Navy, 7",New,1,$89.00,$89.00,$26.97,TOMMY HILFIGER/MARC FISHER LLC,,
194652801532,"Tommy Hilfiger Women's Trudiy Shoe Loafer, Navy, 8.5",New,1,$89.00,$89.00,$26.97,TOMMY HILFIGER/MARC FISHER LLC,,
194652801549,"Tommy Hilfiger Women's Trudiy Shoe Loafer, Navy, 9",New,1,$89.00,$89.00,$26.97,TOMMY HILFIGER/MARC FISHER LLC,,
194652801563,"Tommy Hilfiger Women's Trudiy Shoe Loafer, Navy, 10",New,1,$89.00,$89.00,$26.97,TOMMY HILFIGER/MARC FISHER LLC,,
,FBA16JCMGC49/1ZW5124W0364012747,,,,,,,,
192041420036,"Tommy Hilfiger Women's FRESSIAN Sneaker, White Multi, 8",New,1,$49.00,$49.00,$14.85,TOMMY HILFIGER/MARC FISHER LLC,,
,FBA16JCFX5HV/1ZW5124W0356769526,,,,,,12/22/2021,,