,CATEGORY,CONDITION,# OF UNITS,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,AVG. UNIT CLIENT COST,AVG. UNIT RETAIL,Needed,"$1,000.00"
,WOMEN'S APPAREL (NEW WITH TAGS),STORE STOCK,39,"$2,955.79","$1,000.00",$25.64,$75.79,left,$738.95
UPC/SKU,ITEM DESCRIPTION,CONDITION,ORIGINAL QTY,RETAIL VALUE,TOTAL ORIGINAL RETAIL,TOTAL CLIENT COST,VENDOR NAME,,$261.05
191837109766,Xscape Womens Floral Lace Sleeveless Evening Dress Green 8,New,1,$289.00,$289.00,$72.25,Xscape,,
193596777705,Sequin Hearts Dress Large Junior Floral Puff-Sleeve Sheath Blue L,New,1,$36.99,$36.99,$9.25,YOU BABES/MY MICHELLE/KELLWOOD,,
194592912169,Jessica Howard Womens Navy Tie Waist Bell Sleeve Surplice Neckline Evening Wide Leg Jumpsuit L,New,1,$99.00,$99.00,$24.75,JESSICA HOWARD/G-III APPAREL GROUP,,
194592927927,Jessica Howard Womens Plus Sequined Midi Sheath Dress Black 18W,New,1,$109.00,$109.00,$27.25,JESSICA HOWARD/G-III LEATHER FAS,,
195606009387,Ultra Flirt Womens Coral Tie Dye Long Sleeve Crew Neck Short Shift Dress Size XS Pink,New,1,$32.99,$32.99,$8.25,ULTRAFLIRT BY IKEDDI/IKEDDI ENTERPR,,
195606015692,Ultra Flirt Womens Green Mock Neck Tie Dye Mini Shift Dress Juniors Size: S,New,1,$28.99,$28.99,$7.25,ULTRAFLIRT BY IKEDDI/IKEDDI ENTERPR,,
635273792187,"Tahari ASL Women's One Shoulder Long Pleated Sleeve Jumpsuit, Black, 8",New,1,$188.00,$188.00,$47.00,ARTHUR S LEVINE/PACIFIC ALLIANCE,,
661414564870,Teeze Me Womens Juniors Off-The-Shoulder A-Line Mini Dress Black 9/10,New,1,$59.00,$59.00,$14.75,TEEZE ME/CHOON INC (227/256),,
661414673541,Teeze Me Womens Juniors Satin Mini Fit & Flare Dress Red 9,New,1,$69.00,$69.00,$17.25,TEEZE ME/CHOON INC (227/256),,
661414673558,Teeze Me Womens Red Spaghetti Strap Short Fit + Flare Party Dress Juniors 11,New,2,$69.00,$138.00,$34.50,Teeze Me,,
661414675200,Teeze Me Womens White Floral Sleeveless Halter Short Fit + Flare Dress Size 3,New,1,$46.99,$46.99,$11.75,TEEZE ME/CHOON INC (226/256),,
661414675217,Teeze Me Womens Ivory Floral Sleeveless Halter Short Fit + Flare Dress Size 5,New,2,$46.99,$93.98,$23.50,Teeze Me,,
689886187465,Jessica Howard Womens Ribbed Three Quarter Sleeves Cardigan Sweater Navy L,New,2,$24.98,$49.96,$12.49,JESSICA HOWARD/G-III APPAREL GROUP,,
689886187489,Jessica Howard Womens Ribbed Three Quarter Sleeves Cardigan Sweater Navy S,New,1,$24.98,$24.98,$6.25,JESSICA HOWARD/G-III APPAREL GROUP,,
707762273061,Nightway Womens Gold Patterned Spaghetti Strap Sweetheart Neckline Full-Length Formal Fit + Flare Dress 6,New,1,$169.00,$169.00,$42.25,NIGHT WAY/R & M RICHARDS INC,,
707762279377,Nightway Womens Navy Spaghetti Strap Full-Length Sheath Formal Dress Size: 10,New,1,$149.00,$149.00,$37.25,NIGHT WAY/R & M RICHARDS INC,,
708008555156,City Studio Womens Navy Sleeveless Short Fit + Flare Party Dress Juniors 3,New,1,$44.99,$44.99,$11.25,CITY TRIANGLES-JODI KRISTOPHER,,
708008555194,City Studio Womens Navy Printed Sleeveless Halter Short Fit + Flare Party Dress Size 11,New,1,$44.99,$44.99,$11.25,CITY TRIANGLES-JODI KRISTOPHER,,
708008630488,City Studio Womens Maroon Floral Spaghetti Strap V Neck Short Sheath Evening Dress Size 17,New,1,$59.00,$59.00,$14.75,CITY TRIANGLES-JODI KRISTOPHER,,
708008634646,City Studio Womens White Floral Sleeveless V Neck Mini Fit + Flare Dress Size 1,New,1,$52.99,$52.99,$13.25,CITY TRIANGLES-JODI KRISTOPHER,,
708008672464,City Studio Womens Floral Short Mini Dress Black 11,New,1,$47.99,$47.99,$12.00,CITY TRIANGLES-JODI KRISTOPHER,,
710816334380,BCX Womens White Solid Spaghetti Strap Square Neck Short Body Con Evening Dress Size 3,New,1,$59.00,$59.00,$14.75,BCX/BYER CALIFORNIA,,
747941622440,Speechless Womens Juniors Floral Criss-Cross Scuba Dress Navy 1,New,1,$47.99,$47.99,$12.00,SPEECHLESS/SWAT FAME INC,,
747941622501,Speechless Womens Juniors Floral Criss-Cross Scuba Dress Navy 5,New,1,$47.99,$47.99,$12.00,SPEECHLESS/SWAT FAME INC,,
747941622525,Speechless Womens Juniors Floral Criss-Cross Scuba Dress Navy 9,New,1,$47.99,$47.99,$12.00,SPEECHLESS/SWAT FAME INC,,
747941892553,Speechless Womens Juniors Lace Top Mini Fit & Flare Dress Navy 3,New,1,$43.99,$43.99,$11.00,SPEECHLESS/SWAT FAME INC,,
758116572422,Derek Heart Smocked Peasant Top - Juniors,New,1,$22.99,$22.99,$5.75,PLANET GOLD CLOTHING/GOLDEN TOUCH,,
828659599597,Jessica Howard Womens Plus Scalloped Open Front Shrug Sweater Navy 1X,New,1,$50.00,$50.00,$12.50,JESSICA HOWARD/G-III LEATHER FAS,,
828659687706,Jessica Howard Womens Purple 3/4 Sleeve Off Shoulder Fit + Flare Formal Dress Size 16W,New,1,$119.00,$119.00,$29.75,JESSICA HOWARD/G-III LEATHER FAS,,
882191505713,R & M Richards Womens Halter Metallic Evening Dress Gold 12,New,1,$99.00,$99.00,$24.75,R & M RICHARDS,,
887840361740,Emerald Sundae Honey and Rosie Womens Juniors Lace Back Mini Bodycon Dress Blue S,New,1,$59.00,$59.00,$14.75,EMERALD SUNDAE/WILD HORSES APPAREL,,
888815848952,Connected Apparel Womens Plus Lace Sequined Evening Dress Purple 14W,New,1,$109.00,$109.00,$27.25,CONNECTED APPAREL COMPANY LLC,,
888815857640,Connected Apparel Womens Green Ruched Floral Elbow Cowl Neck Above The Knee Wear to Work Sheath Dress 10,New,1,$69.00,$69.00,$17.25,CONNECTED APPAREL COMPANY LLC,,
888815932675,Connected Apparel Womens Plus Cape Metallic Jumpsuit Black 14W,New,1,$99.00,$99.00,$24.75,CONNECTED APPAREL COMPANY LLC,,
9349585195895,Bardot Womens Pink Sheer Ruffled Floral Spaghetti Strap V Neck Below The Knee Hi-Lo Dress Size S,New,1,$109.00,$109.00,$27.25,BARDOT/BAROL PTY LTD,,
,FBA16J82S4G6/1ZT740T70365943246,,,,,,,,
794795093025,"S.L. Fashions Women's Plus Size Long Satin Party Dress 3/4 Sleeve and Sleeveless, Black Silver, 14W",New,1,$139.00,$139.00,$34.75,SALLY LOU FASHIONS/S L FASHIONS,,
,FBA16J81SLV1/1ZW5124W0372419383,,,,,,12/20/2021,,